,?砍??交?,?,頧砍?,瘣暹,餈漲,?斗??斗???⊥??餉扇??蝥Ｚ銝???
0,2022-04-23,0,0,0.0,銝???,,
1,2021-07-05,0,0,0.032,摰,2021-07-12,2021-07-09,
2,2020-04-24,0,0,0.0,銝???,,
3,2019-07-02,0,0,0.05,摰,2019-07-08,2019-07-05,
4,2018-04-18,0,0,0.0,銝???,,
5,2017-07-04,0,0,0.5,摰,2017-07-10,2017-07-07,
6,2016-06-21,0,0,0.4,摰,2016-06-27,2016-06-24,
7,2015-03-16,0,10,0.6,摰,2015-03-20,2015-03-19,
8,2014-09-16,0,2,0.0,摰,2014-09-22,2014-09-19,2014-09-22
9,2014-05-22,0,0,0.7,摰,2014-05-28,2014-05-27,
10,2013-06-05,0,5,1.5,摰,2013-06-14,2013-06-13,
11,2012-02-17,0,0,0.0,銝???,,
